mode_a,mode_b,count_both,pct_all,jaccard,pct_of_mode_a,pct_of_mode_b
sparse/canonical,sparse/canonical,44,15.4,1.0,100.0,100.0
sparse/canonical,pedagogical/method,6,2.1,0.025,13.6,3.0
sparse/canonical,vernacular/transfer,17,5.9,0.128,38.6,16.0
sparse/canonical,institutional/authority,22,7.7,0.091,50.0,10.0
sparse/canonical,composite/apparatus,16,5.6,0.071,36.4,8.2
sparse/canonical,practical/public,2,0.7,0.016,4.5,2.5
sparse/canonical,corrected/updated,10,3.5,0.056,22.7,6.9
sparse/canonical,humanist/ancient,39,13.6,0.157,88.6,16.0
pedagogical/method,sparse/canonical,6,2.1,0.025,3.0,13.6
pedagogical/method,pedagogical/method,201,70.3,1.0,100.0,100.0
pedagogical/method,vernacular/transfer,78,27.3,0.341,38.8,73.6
pedagogical/method,institutional/authority,176,61.5,0.721,87.6,80.4
pedagogical/method,composite/apparatus,162,56.6,0.689,80.6,82.7
pedagogical/method,practical/public,72,25.2,0.343,35.8,88.9
pedagogical/method,corrected/updated,121,42.3,0.54,60.2,84.0
pedagogical/method,humanist/ancient,187,65.4,0.728,93.0,77.0
vernacular/transfer,sparse/canonical,17,5.9,0.128,16.0,38.6
vernacular/transfer,pedagogical/method,78,27.3,0.341,73.6,38.8
vernacular/transfer,vernacular/transfer,106,37.1,1.0,100.0,100.0
vernacular/transfer,institutional/authority,87,30.4,0.366,82.1,39.7
vernacular/transfer,composite/apparatus,84,29.4,0.385,79.2,42.9
vernacular/transfer,practical/public,29,10.1,0.184,27.4,35.8
vernacular/transfer,corrected/updated,64,22.4,0.344,60.4,44.4
vernacular/transfer,humanist/ancient,99,34.6,0.396,93.4,40.7
institutional/authority,sparse/canonical,22,7.7,0.091,10.0,50.0
institutional/authority,pedagogical/method,176,61.5,0.721,80.4,87.6
institutional/authority,vernacular/transfer,87,30.4,0.366,39.7,82.1
institutional/authority,institutional/authority,219,76.6,1.0,100.0,100.0
institutional/authority,composite/apparatus,169,59.1,0.687,77.2,86.2
institutional/authority,practical/public,69,24.1,0.299,31.5,85.2
institutional/authority,corrected/updated,126,44.1,0.532,57.5,87.5
institutional/authority,humanist/ancient,195,68.2,0.73,89.0,80.2
composite/apparatus,sparse/canonical,16,5.6,0.071,8.2,36.4
composite/apparatus,pedagogical/method,162,56.6,0.689,82.7,80.6
composite/apparatus,vernacular/transfer,84,29.4,0.385,42.9,79.2
composite/apparatus,institutional/authority,169,59.1,0.687,86.2,77.2
composite/apparatus,composite/apparatus,196,68.5,1.0,100.0,100.0
composite/apparatus,practical/public,62,21.7,0.288,31.6,76.5
composite/apparatus,corrected/updated,121,42.3,0.553,61.7,84.0
composite/apparatus,humanist/ancient,176,61.5,0.669,89.8,72.4
practical/public,sparse/canonical,2,0.7,0.016,2.5,4.5
practical/public,pedagogical/method,72,25.2,0.343,88.9,35.8
practical/public,vernacular/transfer,29,10.1,0.184,35.8,27.4
practical/public,institutional/authority,69,24.1,0.299,85.2,31.5
practical/public,composite/apparatus,62,21.7,0.288,76.5,31.6
practical/public,practical/public,81,28.3,1.0,100.0,100.0
practical/public,corrected/updated,47,16.4,0.264,58.0,32.6
practical/public,humanist/ancient,75,26.2,0.301,92.6,30.9
corrected/updated,sparse/canonical,10,3.5,0.056,6.9,22.7
corrected/updated,pedagogical/method,121,42.3,0.54,84.0,60.2
corrected/updated,vernacular/transfer,64,22.4,0.344,44.4,60.4
corrected/updated,institutional/authority,126,44.1,0.532,87.5,57.5
corrected/updated,composite/apparatus,121,42.3,0.553,84.0,61.7
corrected/updated,practical/public,47,16.4,0.264,32.6,58.0
corrected/updated,corrected/updated,144,50.3,1.0,100.0,100.0
corrected/updated,humanist/ancient,133,46.5,0.524,92.4,54.7
humanist/ancient,sparse/canonical,39,13.6,0.157,16.0,88.6
humanist/ancient,pedagogical/method,187,65.4,0.728,77.0,93.0
humanist/ancient,vernacular/transfer,99,34.6,0.396,40.7,93.4
humanist/ancient,institutional/authority,195,68.2,0.73,80.2,89.0
humanist/ancient,composite/apparatus,176,61.5,0.669,72.4,89.8
humanist/ancient,practical/public,75,26.2,0.301,30.9,92.6
humanist/ancient,corrected/updated,133,46.5,0.524,54.7,92.4
humanist/ancient,humanist/ancient,243,85.0,1.0,100.0,100.0
