field,value,n,mode,mode_col,count,pct,overall_pct,delta_vs_overall
elements_books_group,books_1_13,5,sparse/canonical,mode_sparse_canonical,2,40.0,15.4,24.6
elements_books_group,books_1_13,5,pedagogical/method,mode_pedagogical_method,3,60.0,70.3,-10.3
elements_books_group,books_1_13,5,vernacular/transfer,mode_vernacular_transfer,1,20.0,37.1,-17.1
elements_books_group,books_1_13,5,institutional/authority,mode_institutional_authority,3,60.0,76.6,-16.6
elements_books_group,books_1_13,5,composite/apparatus,mode_composite_apparatus,1,20.0,68.5,-48.5
elements_books_group,books_1_13,5,practical/public,mode_practical_public,3,60.0,28.3,31.7
elements_books_group,books_1_13,5,corrected/updated,mode_corrected_updated,4,80.0,50.3,29.7
elements_books_group,books_1_13,5,humanist/ancient,mode_humanist_ancient,5,100.0,85.0,15.0
elements_books_group,books_1_6,81,sparse/canonical,mode_sparse_canonical,19,23.5,15.4,8.1
elements_books_group,books_1_6,81,pedagogical/method,mode_pedagogical_method,55,67.9,70.3,-2.4
elements_books_group,books_1_6,81,vernacular/transfer,mode_vernacular_transfer,30,37.0,37.1,-0.0
elements_books_group,books_1_6,81,institutional/authority,mode_institutional_authority,62,76.5,76.6,-0.0
elements_books_group,books_1_6,81,composite/apparatus,mode_composite_apparatus,51,63.0,68.5,-5.6
elements_books_group,books_1_6,81,practical/public,mode_practical_public,19,23.5,28.3,-4.9
elements_books_group,books_1_6,81,corrected/updated,mode_corrected_updated,37,45.7,50.3,-4.7
elements_books_group,books_1_6,81,humanist/ancient,mode_humanist_ancient,67,82.7,85.0,-2.2
elements_books_group,books_1_6_plus_solids,39,sparse/canonical,mode_sparse_canonical,4,10.3,15.4,-5.1
elements_books_group,books_1_6_plus_solids,39,pedagogical/method,mode_pedagogical_method,31,79.5,70.3,9.2
elements_books_group,books_1_6_plus_solids,39,vernacular/transfer,mode_vernacular_transfer,9,23.1,37.1,-14.0
elements_books_group,books_1_6_plus_solids,39,institutional/authority,mode_institutional_authority,35,89.7,76.6,13.2
elements_books_group,books_1_6_plus_solids,39,composite/apparatus,mode_composite_apparatus,23,59.0,68.5,-9.6
elements_books_group,books_1_6_plus_solids,39,practical/public,mode_practical_public,23,59.0,28.3,30.7
elements_books_group,books_1_6_plus_solids,39,corrected/updated,mode_corrected_updated,23,59.0,50.3,8.6
elements_books_group,books_1_6_plus_solids,39,humanist/ancient,mode_humanist_ancient,38,97.4,85.0,12.5
elements_books_group,mixed_or_other_books,1,sparse/canonical,mode_sparse_canonical,0,0.0,15.4,-15.4
elements_books_group,mixed_or_other_books,1,pedagogical/method,mode_pedagogical_method,1,100.0,70.3,29.7
elements_books_group,mixed_or_other_books,1,vernacular/transfer,mode_vernacular_transfer,1,100.0,37.1,62.9
elements_books_group,mixed_or_other_books,1,institutional/authority,mode_institutional_authority,1,100.0,76.6,23.4
elements_books_group,mixed_or_other_books,1,composite/apparatus,mode_composite_apparatus,1,100.0,68.5,31.5
elements_books_group,mixed_or_other_books,1,practical/public,mode_practical_public,1,100.0,28.3,71.7
elements_books_group,mixed_or_other_books,1,corrected/updated,mode_corrected_updated,1,100.0,50.3,49.7
elements_books_group,mixed_or_other_books,1,humanist/ancient,mode_humanist_ancient,1,100.0,85.0,15.0
elements_books_group,near_complete_or_expanded,67,sparse/canonical,mode_sparse_canonical,6,9.0,15.4,-6.4
elements_books_group,near_complete_or_expanded,67,pedagogical/method,mode_pedagogical_method,59,88.1,70.3,17.8
elements_books_group,near_complete_or_expanded,67,vernacular/transfer,mode_vernacular_transfer,34,50.7,37.1,13.7
elements_books_group,near_complete_or_expanded,67,institutional/authority,mode_institutional_authority,52,77.6,76.6,1.0
elements_books_group,near_complete_or_expanded,67,composite/apparatus,mode_composite_apparatus,56,83.6,68.5,15.1
elements_books_group,near_complete_or_expanded,67,practical/public,mode_practical_public,12,17.9,28.3,-10.4
elements_books_group,near_complete_or_expanded,67,corrected/updated,mode_corrected_updated,41,61.2,50.3,10.8
elements_books_group,near_complete_or_expanded,67,humanist/ancient,mode_humanist_ancient,63,94.0,85.0,9.1
elements_books_group,near_complete_or_expanded_enunciations,7,sparse/canonical,mode_sparse_canonical,0,0.0,15.4,-15.4
elements_books_group,near_complete_or_expanded_enunciations,7,pedagogical/method,mode_pedagogical_method,6,85.7,70.3,15.4
elements_books_group,near_complete_or_expanded_enunciations,7,vernacular/transfer,mode_vernacular_transfer,4,57.1,37.1,20.1
elements_books_group,near_complete_or_expanded_enunciations,7,institutional/authority,mode_institutional_authority,4,57.1,76.6,-19.4
elements_books_group,near_complete_or_expanded_enunciations,7,composite/apparatus,mode_composite_apparatus,7,100.0,68.5,31.5
elements_books_group,near_complete_or_expanded_enunciations,7,practical/public,mode_practical_public,4,57.1,28.3,28.8
elements_books_group,near_complete_or_expanded_enunciations,7,corrected/updated,mode_corrected_updated,2,28.6,50.3,-21.8
elements_books_group,near_complete_or_expanded_enunciations,7,humanist/ancient,mode_humanist_ancient,6,85.7,85.0,0.7
elements_books_group,partial_from_book_1,8,sparse/canonical,mode_sparse_canonical,0,0.0,15.4,-15.4
elements_books_group,partial_from_book_1,8,pedagogical/method,mode_pedagogical_method,4,50.0,70.3,-20.3
elements_books_group,partial_from_book_1,8,vernacular/transfer,mode_vernacular_transfer,1,12.5,37.1,-24.6
elements_books_group,partial_from_book_1,8,institutional/authority,mode_institutional_authority,6,75.0,76.6,-1.6
elements_books_group,partial_from_book_1,8,composite/apparatus,mode_composite_apparatus,4,50.0,68.5,-18.5
elements_books_group,partial_from_book_1,8,practical/public,mode_practical_public,3,37.5,28.3,9.2
elements_books_group,partial_from_book_1,8,corrected/updated,mode_corrected_updated,4,50.0,50.3,-0.3
elements_books_group,partial_from_book_1,8,humanist/ancient,mode_humanist_ancient,5,62.5,85.0,-22.5
elements_books_group,selected_later_books,21,sparse/canonical,mode_sparse_canonical,3,14.3,15.4,-1.1
elements_books_group,selected_later_books,21,pedagogical/method,mode_pedagogical_method,12,57.1,70.3,-13.1
elements_books_group,selected_later_books,21,vernacular/transfer,mode_vernacular_transfer,6,28.6,37.1,-8.5
elements_books_group,selected_later_books,21,institutional/authority,mode_institutional_authority,15,71.4,76.6,-5.1
elements_books_group,selected_later_books,21,composite/apparatus,mode_composite_apparatus,13,61.9,68.5,-6.6
elements_books_group,selected_later_books,21,practical/public,mode_practical_public,3,14.3,28.3,-14.0
elements_books_group,selected_later_books,21,corrected/updated,mode_corrected_updated,7,33.3,50.3,-17.0
elements_books_group,selected_later_books,21,humanist/ancient,mode_humanist_ancient,19,90.5,85.0,5.5
elements_books_group,selected_later_books_enunciations,1,sparse/canonical,mode_sparse_canonical,0,0.0,15.4,-15.4
elements_books_group,selected_later_books_enunciations,1,pedagogical/method,mode_pedagogical_method,1,100.0,70.3,29.7
elements_books_group,selected_later_books_enunciations,1,vernacular/transfer,mode_vernacular_transfer,0,0.0,37.1,-37.1
elements_books_group,selected_later_books_enunciations,1,institutional/authority,mode_institutional_authority,1,100.0,76.6,23.4
elements_books_group,selected_later_books_enunciations,1,composite/apparatus,mode_composite_apparatus,0,0.0,68.5,-68.5
elements_books_group,selected_later_books_enunciations,1,practical/public,mode_practical_public,0,0.0,28.3,-28.3
elements_books_group,selected_later_books_enunciations,1,corrected/updated,mode_corrected_updated,0,0.0,50.3,-50.3
elements_books_group,selected_later_books_enunciations,1,humanist/ancient,mode_humanist_ancient,1,100.0,85.0,15.0
elements_books_group,unknown_books,56,sparse/canonical,mode_sparse_canonical,10,17.9,15.4,2.5
elements_books_group,unknown_books,56,pedagogical/method,mode_pedagogical_method,29,51.8,70.3,-18.5
elements_books_group,unknown_books,56,vernacular/transfer,mode_vernacular_transfer,20,35.7,37.1,-1.3
elements_books_group,unknown_books,56,institutional/authority,mode_institutional_authority,40,71.4,76.6,-5.1
elements_books_group,unknown_books,56,composite/apparatus,mode_composite_apparatus,40,71.4,68.5,2.9
elements_books_group,unknown_books,56,practical/public,mode_practical_public,13,23.2,28.3,-5.1
elements_books_group,unknown_books,56,corrected/updated,mode_corrected_updated,25,44.6,50.3,-5.7
elements_books_group,unknown_books,56,humanist/ancient,mode_humanist_ancient,38,67.9,85.0,-17.1
format_group,18,1,sparse/canonical,mode_sparse_canonical,1,100.0,15.4,84.6
format_group,18,1,pedagogical/method,mode_pedagogical_method,0,0.0,70.3,-70.3
format_group,18,1,vernacular/transfer,mode_vernacular_transfer,0,0.0,37.1,-37.1
format_group,18,1,institutional/authority,mode_institutional_authority,1,100.0,76.6,23.4
format_group,18,1,composite/apparatus,mode_composite_apparatus,0,0.0,68.5,-68.5
format_group,18,1,practical/public,mode_practical_public,0,0.0,28.3,-28.3
format_group,18,1,corrected/updated,mode_corrected_updated,0,0.0,50.3,-50.3
format_group,18,1,humanist/ancient,mode_humanist_ancient,1,100.0,85.0,15.0
format_group,6,5,sparse/canonical,mode_sparse_canonical,2,40.0,15.4,24.6
format_group,6,5,pedagogical/method,mode_pedagogical_method,2,40.0,70.3,-30.3
format_group,6,5,vernacular/transfer,mode_vernacular_transfer,1,20.0,37.1,-17.1
format_group,6,5,institutional/authority,mode_institutional_authority,3,60.0,76.6,-16.6
format_group,6,5,composite/apparatus,mode_composite_apparatus,2,40.0,68.5,-28.5
format_group,6,5,practical/public,mode_practical_public,1,20.0,28.3,-8.3
format_group,6,5,corrected/updated,mode_corrected_updated,2,40.0,50.3,-10.3
format_group,6,5,humanist/ancient,mode_humanist_ancient,5,100.0,85.0,15.0
format_group,duodecimo,30,sparse/canonical,mode_sparse_canonical,5,16.7,15.4,1.3
